"ids","Period","GlobalID","GroupID","Choice","Round","Theta","x","session","Choicebayes","Choicebayesx"
101011,1,1,1,0,1,200,214.956694577414,101,0,0
101011,2,1,1,0,1,201.88480993832,185.563557950578,101,0,0
101011,3,1,1,0,1,198.132292312713,198.131693279609,101,0,0
101011,4,1,1,0,1,198.119116128749,203.267686059871,101,0,0
101011,5,1,1,0,1,200.586615476203,178.542960386794,101,0,0
101011,6,1,1,0,1,191.796462758873,198.96548736407,101,0,0
101011,7,1,1,0,1,193.033415957433,235.438087280854,101,0,0
101011,8,1,1,0,1,193.440011171693,228.348488114374,101,0,0
101011,9,1,1,0,1,188.049261530971,178.587512472184,101,0,0
101011,10,1,1,1,1,187.232238354087,230.389374168705,101,0,0
101011,11,1,1,1,1,191.809494629768,205.511574996106,101,0,0
101011,12,1,1,1,1,189.078462784097,183.517393568667,101,0,0
101011,13,1,1,1,1,191.94216637172,197.056336151471,101,0,0
101011,14,1,1,0,1,191.605684583578,164.89086368248,101,0,0
101011,15,1,1,0,1,204.732256919256,237.332405477565,101,0,0
101011,16,1,1,0,1,195.719576773396,191.461093460347,101,0,0
101011,17,1,1,0,1,199.908583242243,202.440216353812,101,0,0
101011,18,1,1,0,1,202.25149117353,203.298367662709,101,0,0
101011,19,1,1,0,1,205.08938737949,207.51632024773,101,0,0
101011,20,1,1,0,1,207.390813816265,206.502412803896,101,0,0
101011,21,1,1,0,1,202.736878959718,149.139999007659,101,0,0
101011,22,1,1,1,1,209.41169125002,235.221069097787,101,0,0
101011,23,1,1,1,1,199.84672858095,238.004885344304,101,0,0
101011,24,1,1,1,1,202.435642147255,246.406373777034,101,0,0
101011,25,1,1,1,1,209.887004344884,188.485205742127,101,0,0
101011,26,1,1,0,1,215.16241478512,216.533382054122,101,0,0
101011,27,1,1,0,1,219.37602530287,204.041571390153,101,0,0
101011,28,1,1,0,1,221.949238310395,229.876491049316,101,0,0
101011,29,1,1,0,1,221.933032773905,170.840965944207,101,0,0
101011,30,1,1,1,1,219.384136685433,248.67264710986,101,0,0
101011,31,1,1,1,1,214.775980944441,268.78892292801,101,0,0
101011,32,1,1,1,1,220.292705560899,247.378647456337,101,0,0
101011,33,1,1,1,1,217.633296804874,220.492621500716,101,0,0
101011,34,1,1,0,1,211.090165845967,274.094970201922,101,0,0
101011,35,1,1,0,1,210.011695506746,197.168935029724,101,0,0
101011,36,1,1,0,1,211.284665198947,190.124920040569,101,0,0
101011,37,1,1,0,1,219.513377319227,249.998603077963,101,0,0
101011,38,1,1,0,1,206.996547136102,170.956226414875,101,0,0
101011,39,1,1,1,1,212.881399169678,201.671983138986,101,0,0
101011,40,1,1,1,1,215.847029593581,247.43005282928,101,0,0
101011,41,1,1,1,1,213.068049310039,160.906257061946,101,0,0
101011,42,1,1,1,1,219.612184613221,245.899412369203,101,0,0
101011,43,1,1,0,1,219.780122408557,229.379014233923,101,0,0
